filename,type,title,artist,techniques,Soul Score,lyrics,rhythm,instrument
AM_E05_05465.json,Instrumental,계면조 두거 (해금풍류),이승희,12,0.26,,,해금
AP_E01_03949.json,Instrumental,평조회상 중령산(지금풍류),황진아,1,0.05,,,거문고
AM_F06_05035.json,Vocal,반아 반아 국시반아 (mbc),강금순,14,0.53,반아반아국시반아배추 짐치 연지반 아구름대단오라바니 상금 대단 접저고리 이솔밭이 깔어놓아 거둘레니얼 룽지고 데릴라니 연대 먹고 뒤통 뒤통가지가지 걸어놓아,자진모리,여성성악
AP_E02_05900.json,Instrumental,자진한잎 평조두거,이종무,0,0.0,,,생황
AP_E01_03516.json,Instrumental,영산회상 군악(지금풍류),박지영,4,0.23,,,피리
AP_E04_02062.json,Instrumental,양청도드리(지금풍류),공유림,4,0.65,,,가야금
AP_E01_04096.json,Instrumental,영산회상 중 하현도드리(성음지교2),강은일,2,0.25,,,해금
AP_E04_00102.json,Instrumental,양청도드리,,1,0.23,,,거문고
AP_F07_06637.json,Vocal,변강쇠타령,전병훈,4,0.41,입이 있으니 말을 하느냐 어 화 둥둥 내 사랑아,굿거리,남성성악
AP_F08_01767.json,Vocal,판소리 춘향가,이주은,3,0.35,사또분부가지엄- 하니 지체 말고 나 오너 라,중모리,여성성악
BM_CR1_02169.json,Vocal,남도들노래 중 풍장소리,김용우,18,0.71,오동에 추야 달도 나 밝고 임오야생각 허어 내가 절로 만나는구나야,굿거리,남성성악
AP_E04_01912.json,Instrumental,계면가락도드리(지금풍류),공유림,3,0.28,,,가야금
AP_F07_06543.json,Instrumental,방물가,,0,0.0,,,장구
BP_CR2_01361.json,Vocal,씨를 뿌려주소서,장명서,2,0.13,매서운 바람결 휘날리는 빗방울 올해도 제주의 영등할망 왔네,,여성성악
BM_CR1_02045.json,Vocal,생!사고락 1,,8,0.24,흥보제비가 나온 다 흥보제비가 나온 다 보은표 박씨를 입에다 물고 흑운을 박차 고백운무릅 쓰고 거 중에 둥실 높이 떠두루 사면을 살펴보니 서촉은 지척 동해는 창망 허구나 축융봉을 올라가니 주작이 넘놀고 상혁토하혁토오작교를 바라보니,자진모리,남성성악
BP_CR2_00763.json,Instrumental,노올량아리랑,민소윤,4,0.27,,,대금
BP_FS3_03038.json,Instrumental,INTRO (바이날로그),,1,0.11,,굿거리,해금
AP_E02_08093.json,Instrumental,경풍년,,5,0.5,,,소금
BP_FS3_03049.json,Instrumental,Make Sense,,2,0.29,,,대금
AP_C06_07691.json,Instrumental,동동,김동근,2,0.13,,,소금
AP_E01_02416.json,Instrumental,영산회상 중 상현도드리(성음지교2),서은영,5,0.34,,,가야금
AP_F06_01202.json,Vocal,도라지타령,강효주,6,0.63,저기 저산 밑에도라지가 한들한들,,여성성악
AP_C11_01580.json,Vocal,사선무,조일하,2,0.24,황도에 근본이니,,여성성악
AP_C10_00029.json,Instrumental,대취타,,3,0.32,,,태평소
AP_F07_06474.json,Instrumental,맹꽁이타령,,0,0.0,,,장구
AP_F04_08201.json,Instrumental,농악장단,윤호세,0,0.0,,굿거리,
AM_F06_05037.json,Vocal,과부신세타령 - 송아치를 곱게 키워 (mbc),김남례,11,0.55,송아지를 곱게 키워은 쟁기를 돋아 매고 왕대밭을 미미 갈어 백년초를 심었더니 백년초는 간 곳 없고 일 년이 별 초가 나였네,자진모리,여성성악
AP_C07_07624.json,Instrumental,보허자,이신애,0,0.0,,,아쟁
AP_F05_07895.json,Instrumental,웃다리풍물 (지금풍류),,0,0.0,,,꽹과리
BP_CR1_02737.json,Instrumental,떼 한 장에 벼 닷 말,류관우,0,0.0,,,거문고
AP_F07_06550.json,Vocal,방물가,전병훈,5,0.28,날 버리고 못 가리라,,남성성악
AP_E02_04893.json,Instrumental,염양춘 (이승엽),이승엽,4,0.27,,,대금
BP_CR1_02755.json,Instrumental,풍구타령 (김정희),이화연,9,0.57,,굿거리,아쟁
AP_E01_03974.json,Instrumental,평조회상 중령산(지금풍류),공유림,2,0.09,,,가야금
AP_F06_04402.json,Vocal,베틀노래 (mbc),김순계,3,0.49,아랫방은 옥녀 주고 웃방으는 선녀 주고,휘모리,여성성악
AP_F05_07948.json,Instrumental,영남가락 (지금풍류),,0,0.0,,,북
BM_CR2_00001.json,Instrumental,딛다 (Take a step) - 가야금,이현희,14,0.22,,자진모리,가야금
AP_F13_00526.json,Instrumental,동해안 별신굿 드렁갱이 3장,,0,0.0,,,장구
AP_E05_05484.json,Instrumental,계면조 두거 (해금풍류),이승희,1,0.09,,,해금
AP_E01_03463.json,Instrumental,영산회상 가락덜이(지금풍류),정겨운,2,0.13,,,해금
AP_E05_05594.json,Instrumental,계면조 계락 (해금풍류),이승희,7,0.44,,,해금
BP_CR2_01427.json,Instrumental,연애일기,민소윤,5,0.53,,굿거리,대금
AP_E04_01901.json,Instrumental,계면가락도드리(지금풍류),김대곤,5,0.49,,,대금
AP_E05_05644.json,Instrumental,반우반계 편락 (해금풍류),이승희,4,0.43,,,해금
BP_FS1_00200.json,Instrumental,달무리 (천지윤),천지윤,5,0.52,,,해금
AP_E02_05860.json,Instrumental,자진한잎 계면두거,이종무,0,0.0,,,생황
BP_CR1_02530.json,Vocal,자장가 방아찧기,,8,0.5,이 방 아 이름은 무엇이냐 평북의 디딜방아,중모리,여성성악
AM_E01_03852.json,Instrumental,영산회상 염불도드리(지금풍류),황진아,18,0.32,,,거문고
AP_F07_06776.json,Instrumental,소춘향가,,0,0.0,,,장구
BP_CR2_01276.json,Instrumental,매미 죽지 같고 잠자리 날개 같은 한산 세모시,민소윤,3,0.24,,,대금
AP_F06_00382.json,Instrumental,한오백년,,15,0.52,,중모리,해금
BP_CR1_02584.json,Instrumental,자장가 (국악태교자장가),황정수,3,0.18,,,가야금
AP_E05_05803.json,Instrumental,우조 언락 (해금풍류),이승희,4,0.59,,,해금
AP_E05_05741.json,Instrumental,우조 삼수대엽 (해금풍류),이승희,6,0.33,,,해금
AP_E01_02504.json,Instrumental,영산회상 중 군악(성음지교2),강은일,2,0.36,,,해금
AP_E01_04080.json,Instrumental,영산회상 중 하현도드리(성음지교2),서은영,5,0.2,,,가야금
AP_F05_08331.json,Instrumental,삼도농악가락,윤호세,0,0.0,,,북
AP_F02_04109.json,Instrumental,신관용류 가야금산조 긴산조 진양,서은영,7,0.53,,진양조,가야금
AP_C01_07116.json,Instrumental,종묘제례악 중 보태평 희문 ,,0,0.0,,,
AP_E02_04857.json,Instrumental,경풍년 (이승엽),이승엽,2,0.15,,,대금
AP_F09_01646.json,Vocal,어화세상,박양덕,5,0.78,인간 극락이 여기로 구나,,여성성악
AP_F05_07885.json,Instrumental,웃다리풍물 (지금풍류),,0,0.0,,,북
AP_E01_06958.json,Instrumental,세령산 (피리정악 영산회상),이호진,4,0.18,,,피리
AP_C11_01579.json,Vocal,사선무,조일하,1,0.17,한 수장 이,,여성성악
AP_F06_03444.json,Vocal,밭일구는소리(괭이질),김석수 외,7,0.28,좁씨가 안 묻헸 네오호괭이요어헐 씨 구파만 주게 오호괭이 요 문주 만 날려주고 오호괭이 요자뻐 지지 말고 찍게 오호괭이요,자진모리,남성성악
AP_E01_03231.json,Instrumental,평조회상 상령산(성음지교3),서은영,9,0.33,,,가야금
BP_CR2_02298.json,Instrumental,Sinawi Moment - Epilogue ,김민영,0,0.0,,,거문고
AP_F03_07557.json,Instrumental,시나위,이신애,4,0.3,,,아쟁
AP_E01_02530.json,Instrumental,영산회상 중 타령(성음지교2),강은일,6,0.48,,,해금
BP_CR2_00815.json,Vocal,청산별곡,이밝음,2,0.26,청산에 살어리랏다네,굿거리,여성성악
AP_F02_07226.json,Instrumental,서용석류 대금산조 중모리,김상연,16,0.77,,중모리,대금
AP_E04_02020.json,Instrumental,우조가락도드리(지금풍류),공유림,4,0.35,,,가야금
AP_E01_03168.json,Instrumental,평조회상 중령산(성음지교3),서은영,0,0.0,,,가야금
BP_FS2_03567.json,Instrumental,소확행,,1,0.14,,굿거리,소금
AP_F07_06799.json,Vocal,소춘향가,전병훈,3,0.17,다녹이느냐 아하너는 어연,,남성성악
AP_F06_04742.json,Vocal,노랫가락 (지금풍류),김승원,5,0.33,일도 창해하면 다시 오기 어려워라,,남성성악
AM_F06_02364.json,Vocal,모심는소리 자진아라리 1 (mbc),이원석,6,0.23,심어주게 심어주게 심어주게 오종종 줄 모루 심어주 세아리랑 아리랑 아라리요아리랑 고 개고 넘어간다,,남성성악
AP_E05_00139.json,Instrumental,가곡 남창 언편,,5,0.33,,,거문고
AP_F05_08633.json,Instrumental,웃다리풍물,,0,0.0,,,장구
AP_F06_04475.json,Vocal,논매는소리 2 (mbc),김선용,0,0.0,알매기 루쏴 뛰뛰뛰,,남성성악
BP_FS2_00989.json,Instrumental,먼동이틀때,김동근,1,0.14,,자진모리,대금
BP_FS1_02601.json,Instrumental,모차르트 자장가,황정수,1,0.11,,,가야금
BP_CR1_02892.json,Instrumental,돌아가는 먼길,조성재,2,0.21,,굿거리,아쟁
AP_C03_07801.json,Instrumental,여민락,김동근,2,0.29,,,소금
BP_CR2_01330.json,Instrumental,오채 (노올량),고명진,0,0.0,,,꽹과리
AP_F09_01399.json,Vocal,광대가,김일구,5,0.35,인물은 천생이라 변통할 수 없거니와 원원한 이속판이 소리하는 법례로다,자진모리,남성성악
BP_CR1_02547.json,Instrumental,닻별,황정수,1,0.12,,,가야금
AP_E01_03307.json,Instrumental,평조회상 세령산(성음지교3),진윤경,5,0.25,,,피리
BP_FS2_00991.json,Instrumental,먼동이틀때,김동근,4,0.74,,자진모리,대금
BP_CR2_01938.json,Instrumental,짜증가,민소윤,3,0.29,,굿거리,대금
AP_F06_08149.json,Instrumental,절구질소리,추정현,2,0.37,,자진모리,가야금
AP_F06_01207.json,Vocal,해주아리랑,장효선,2,0.37,아라리요,,여성성악
AP_F06_06870.json,Instrumental,느리개타령,소윤선,11,1.11,,굿거리,해금
AP_E01_02483.json,Instrumental,평조회상 세령산(지금풍류) 피리,박지영,5,0.29,,,피리
AM_F06_06211.json,Vocal,한강물이 많으나 (mbc),김묘선,0,0.0,한강물이 많으나 바닷물이 많나 한강물이 많나 바닷물이 많나 한강물이 많나 바닷물이 많나 한강물이 많나 바닷물이 많나,,여성성악
AP_E01_02942.json,Instrumental,영산회상 하현도드리(지금풍류),황인혁,0,0.0,,,장구
AP_F06_01354.json,Vocal,사설난봉가,유지숙,3,0.14,나를 버리고 가시는 임은 십리도 못 가서 발병이나 고 이십리 못 가서 불한 당 맞고 삼십리 못 가서 되돌아 오누나에 헤어야 어야 더 야내 사랑아에 헤,,여성성악
AM_F06_06177.json,Vocal,월워리청청노래 2 (mbc),"김선이, 공복남 외",3,0.15,월워리청 청월 워리청 청달아 달아 밝은 달아 월워리청청이 태백이 놀던 달아월워리청청,굿거리,여성성악
AP_E01_07022.json,Instrumental,염불도드리 (피리정악 영산회상),이호진,4,0.38,,,피리
AP_E01_02608.json,Instrumental,평조회상 상령산(지금풍류),황진아,2,0.08,,,거문고
BP_CR2_01388.json,Vocal,숨비소리,장명서,3,0.16,휘이 이 이 우리 어멍 평안호게 해줍서,,여성성악
AP_F08_01756.json,Vocal,판소리 춘향가,안숙선,14,0.91,이를 장차 어쩔거나 그저 퍼버리고 울음을 운다,중모리,여성성악
AP_F06_02093.json,Instrumental,아리랑(지금풍류 민요조),홍예진,11,0.62,,,가야금
AP_F02_04199.json,Instrumental,신관용류 가야금산조 긴산조 중중모리,서은영,4,0.8,,,가야금
AP_F07_06684.json,Instrumental,비단타령,,0,0.0,,굿거리,장구
